iter	Passed	Remaining
0	0	89
1	1	81
2	2	78
3	2	71
4	3	67
5	4	64
6	4	62
7	5	60
8	5	59
9	6	57
10	6	56
11	7	55
12	8	54
13	8	53
14	9	52
15	9	51
16	10	51
17	11	50
18	11	49
19	12	48
20	12	48
21	13	47
22	13	46
23	14	46
24	15	45
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	27
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	65	0
